,original_title,label,sentences,imageArrays,overview
0,Toy Story,8,this movie came three now im twenty seven goddamn thing still holds final very strong appeal personal favourite decided revisit many years still holds well great movie kids adults wonderful teachable moments just groundbreaking animated movie around stunning feature film entrance pixar emtoy storyem true delight first second last the cgi animation excellent all toys look brilliant world love feel the music good randy newman nice job youve got friend me cracker tom hanks leads strong cast hanks plays woody fantastic effect he best part film tim allen great buzz lightyear don rickles mr potato head wallace shawn rex john ratzenberger hamm also bring fun everything else terrific humour pacing plot enjoy there probably flaws parts namely buzzs supposed unawareness nothing impacts viewing experience go watch,"[[[0.00392157 0.50980395 0.7647059 ]
  [0.         0.5058824  0.7607843 ]
  [0.         0.5019608  0.75686276]
  ...
  [0.         0.52156866 0.7764706 ]
  [0.         0.52156866 0.7764706 ]
  [0.         0.52156866 0.7764706 ]]

 [[0.         0.5137255  0.7647059 ]
  [0.         0.50980395 0.7607843 ]
  [0.         0.5058824  0.7607843 ]
  ...
  [0.         0.52156866 0.7764706 ]
  [0.         0.52156866 0.7764706 ]
  [0.         0.52156866 0.7764706 ]]

 [[0.         0.5254902  0.77254903]
  [0.         0.5254902  0.77254903]
  [0.         0.52156866 0.76862746]
  ...
  [0.         0.52156866 0.7764706 ]
  [0.         0.52156866 0.7764706 ]
  [0.         0.52156866 0.7764706 ]]

 ...

 [[0.44313726 0.22745098 0.14509805]
  [0.4117647  0.22745098 0.14901961]
  [0.2901961  0.18431373 0.15686275]
  ...
  [0.88235295 0.74509805 0.47843137]
  [0.9098039  0.827451   0.50980395]
  [0.9098039  0.827451   0.50980395]]

 [[0.41568628 0.23529412 0.1764706 ]
  [0.27058825 0.16862746 0.17254902]
  [0.18039216 0.12941177 0.16470589]
  ...
  [0.7647059  0.68235296 0.42745098]
  [0.92941177 0.84313726 0.54509807]
  [0.9529412  0.87058824 0.5529412 ]]

 [[0.18039216 0.13333334 0.17254902]
  [0.16470589 0.13333334 0.19215687]
  [0.17254902 0.12156863 0.16078432]
  ...
  [0.7882353  0.69803923 0.5254902 ]
  [0.80784315 0.7058824  0.46666667]
  [0.827451   0.7294118  0.47843137]]]","Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences."
1,Jumanji,7,throw dice take turn jumanji made critics gurn jumanji directed joe johnston based chris van allsburgs short story name it stars robin williams bonnie hunt kirsten dunst bradley pierce jonathan hyde the story weird board game played unleashes hazards jungle every throw dice once started playing finish game normality resumed simple plot coming excuse show impressive effects said critics jumanji defied critics time become box office winner family favourite enough favourite spawn sequel zathura animated tv series board game in truth film reliant effects entertain cast competent enjoyable merely lurching one perilous throw dice another but call film shallow wrong ignorant theres flecks bad parenting peer pressure grief bullying impact missing child one town noteworthy addition story line you wonder critics actually paid attention free viewings yes berserker family fun without worth writing either besides action set pieces laughs alone mean film merits,"[[[0.4        0.5254902  0.70980394]
  [0.4        0.53333336 0.72156864]
  [0.4        0.5254902  0.7176471 ]
  ...
  [0.49019608 0.6431373  0.79607844]
  [0.4745098  0.6392157  0.8039216 ]
  [0.4862745  0.6509804  0.8156863 ]]

 [[0.52156866 0.6509804  0.81960785]
  [0.5176471  0.64705884 0.8156863 ]
  [0.5058824  0.6509804  0.8235294 ]
  ...
  [0.4392157  0.58431375 0.75686276]
  [0.4862745  0.6313726  0.8039216 ]
  [0.47843137 0.62352943 0.79607844]]

 [[0.49803922 0.6313726  0.80784315]
  [0.47843137 0.6117647  0.7882353 ]
  [0.45490196 0.6        0.77254903]
  ...
  [0.42352942 0.5764706  0.7294118 ]
  [0.4392157  0.57254905 0.7490196 ]
  [0.43529412 0.5647059  0.7411765 ]]

 ...

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]]","When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures."
5,Heat,8,you dont live live among remains dead people heat written directed michael mann it stars robert deniro al pacino val kilmer jon voight tom sizemore diane venora ashley judd amy brennerman danny trejo music scored elliot goldenthal cinematography dante spinoti big time thief neil mccauley deniro one last major score retires hot tail vincent hannah pacino cop equally methodically driven in build heats release much made first screen pairing deniro pacino mouthwatering prospect sure proved worth wait unfolds lesson restrained acting two modern greats affording respect due what didnt realise build films release would prove one greatest cops robbers movies time brought us auteur director whose kink realism commitment research stands much modern directing pack rarely film come together one cogs engine tune heat one picture from cast performances visual aesthetics screenplay actual substance story heat meticulous thrilling there myriad characters brilliantly stitched together one deglamorised city angels plot develops character crumbling relationships come inspection witnessing coarse viewpoint human nature peoples lives ended defined choices everywhere look folk cracking strain exposed high end crime dreams hopes happiness unlikely achieved sides law for heat mann fuses tonal visual ticks manhunter adrenalin rushes last mohicans former gorgeously born spinotis pin sharp photography latter thrillingly realised manns skill action set pieces once word mouth key heist shoot film led high expectation disappointment la becomes battle ground rapid gunfire punctures air cars swerve crash bodies fall visually aurally drags edge seat extended action sequence fit sit best the kicker well mann detailed characterisations care happens parties understand motives means which film huge support cast quite achievement there enough heat fill dozen cops robbers films fans neonoir crime films general spoilt supreme its rocket science really put group great actors together give intelligent script work let guided director sit still get great film heat ultimate predator prey movie beginning end refuses lazy cop energy thought seeps every frame partly im disappointed taking long watch heat massive influence one best movies ever the dark knight one favourite video games ever payday the heist mostly though im disappointed taking long watch heat ive denied long privilege seen great fucking crime movie final an round good movie little something extra,"[[[0.14901961 0.16470589 0.2       ]
  [0.11372549 0.14509805 0.19607843]
  [0.21568628 0.23137255 0.26666668]
  ...
  [0.2        0.21568628 0.25882354]
  [0.22745098 0.25882354 0.3019608 ]
  [0.10588235 0.09411765 0.12156863]]

 [[0.21960784 0.24705882 0.30980393]
  [0.23921569 0.2627451  0.30980393]
  [0.22352941 0.23921569 0.28235295]
  ...
  [0.19607843 0.21176471 0.25882354]
  [0.26666668 0.28235295 0.32941177]
  [0.09019608 0.08627451 0.10980392]]

 [[0.27058825 0.29411766 0.34117648]
  [0.26666668 0.2901961  0.3372549 ]
  [0.25490198 0.27058825 0.31764707]
  ...
  [0.3019608  0.31764707 0.3647059 ]
  [0.24313726 0.25882354 0.30588236]
  [0.11764706 0.09803922 0.1254902 ]]

 ...

 [[0.7764706  0.85490197 0.9490196 ]
  [0.79607844 0.8784314  0.9843137 ]
  [0.7411765  0.827451   0.91764706]
  ...
  [0.77254903 0.84313726 0.92156863]
  [0.83137256 0.91764706 0.972549  ]
  [0.72156864 0.8039216  0.87058824]]

 [[0.7647059  0.84705883 0.9137255 ]
  [0.79607844 0.89411765 0.98039216]
  [0.6862745  0.77254903 0.8666667 ]
  ...
  [0.7411765  0.8156863  0.88235295]
  [0.7921569  0.85882354 0.92941177]
  [0.77254903 0.85882354 0.9137255 ]]

 [[0.7137255  0.8039216  0.8745098 ]
  [0.73333335 0.81960785 0.9019608 ]
  [0.7254902  0.8156863  0.87058824]
  ...
  [0.7294118  0.80784315 0.90588236]
  [0.75686276 0.8392157  0.92156863]
  [0.6901961  0.76862746 0.8666667 ]]]","Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence."
7,Tom and Huck,5,good enough it doesnt come close disneys film featuring mark twains huckleberry emthe adventures huck finnem in fairness one tom sawyer huck pleasing given already portrayed huck two years prior the actor depicts latterly named character brad renfro isnt truthful hes fine memorable jonathan taylor thomas meanwhile plays tom probably best part production hes cheekiness works well role elsewhere eric schweig injun joe makes decent bad guy like vibe emtom huckem think couldve done without love story doesnt hamper things much would say film goes slower pace would prefer particularly drags ever slightly towards end still rate mostly thanks mr thomas,"[[[1.         1.         1.        ]
  [1.         1.         1.        ]
  [1.         1.         1.        ]
  ...
  [1.         1.         1.        ]
  [1.         1.         1.        ]
  [1.         1.         1.        ]]

 [[1.         1.         1.        ]
  [1.         1.         1.        ]
  [1.         1.         1.        ]
  ...
  [1.         1.         1.        ]
  [1.         1.         1.        ]
  [1.         1.         1.        ]]

 [[1.         1.         1.        ]
  [1.         1.         1.        ]
  [1.         1.         1.        ]
  ...
  [1.         1.         1.        ]
  [1.         1.         1.        ]
  [1.         1.         1.        ]]

 ...

 [[0.9882353  0.9882353  0.9882353 ]
  [0.98039216 0.98039216 0.98039216]
  [0.9647059  0.9647059  0.9647059 ]
  ...
  [0.44313726 0.30980393 0.27058825]
  [0.36862746 0.24313726 0.19215687]
  [0.49019608 0.36862746 0.29803923]]

 [[0.99215686 0.99215686 0.99215686]
  [0.9843137  0.9843137  0.9843137 ]
  [0.972549   0.972549   0.972549  ]
  ...
  [0.45490196 0.3254902  0.25882354]
  [0.44313726 0.3137255  0.25490198]
  [0.4862745  0.35686275 0.2901961 ]]

 [[0.9882353  0.9882353  0.9882353 ]
  [0.9843137  0.9843137  0.9843137 ]
  [0.972549   0.972549   0.972549  ]
  ...
  [0.42745098 0.3019608  0.25882354]
  [0.38039216 0.26666668 0.21176471]
  [0.44705883 0.32156864 0.2784314 ]]]","A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence."
9,GoldenEye,7,really solid entry series brosnan personally favorite bond great the plot thin side helped sean bean sinister villain course famke janssen makes amazingly sexy psychopath ahem incredible thighs,"[[[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 ...

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  ...
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]]",James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.
11,Dracula: Dead and Loving It,6,most probably least favourite film mel brooks though havent seen life stinks yet leslie nielsen though refuse watch postairplane naked gun knockoffs hes made years since still doesnt deserve hate its still least times funnier lena dunhams tiny furniture socalled contemporary american comedies made days,"[[[0.5568628  0.73333335 0.8235294 ]
  [0.5568628  0.73333335 0.8156863 ]
  [0.57254905 0.7372549  0.8235294 ]
  ...
  [0.43137255 0.6117647  0.74509805]
  [0.42745098 0.60784316 0.7490196 ]
  [0.3882353  0.58431375 0.7294118 ]]

 [[0.5686275  0.74509805 0.8352941 ]
  [0.5686275  0.74509805 0.827451  ]
  [0.58431375 0.7490196  0.8352941 ]
  ...
  [0.39607844 0.58431375 0.7254902 ]
  [0.3882353  0.5764706  0.7254902 ]
  [0.4        0.5882353  0.74509805]]

 [[0.60784316 0.76862746 0.84705883]
  [0.60784316 0.76862746 0.84705883]
  [0.6156863  0.7647059  0.84705883]
  ...
  [0.3254902  0.5568628  0.7137255 ]
  [0.32156864 0.54901963 0.69803923]
  [0.39607844 0.6039216  0.7607843 ]]

 ...

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]]","When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count."
14,Cutthroat Island,6,not bad notoriously condemned still clearly shows leads director illadvised know well getting harlin point time getting davisthats exactly probably married she brings agame definitely tries best isnt thing modines clearly blockbuster star material action films harlins setpieces worked particularly well pandered much wife that work youre say rossellinis youre filming drama set italy working though ill adore davis dying day add yearold sons favourite films very curious would made sequels bombedthe ending sure openended enough give impression this one film sit back enjoy ride offer guilty pleasure definitely worth watch enjoy popcorn films children not enjoyable first two pirates caribbean releases better subsequent sequels fun pirate flick tries hard heroic panders youngsters in female pirate captain geena davis purchases educated slave matthew modine read treasure map written latin help crew find priceless lucre cutthroat island frank langella plays villainous uncle also chasing hidden loot pirate adventure spirit lost even cute monkey side character fun adventure several worthwhile scenes check pirate staple boxes magnificent locations movie magic for one thing tries hard largerthanlife valiant thus goes overthetop action scenes like escape port royal sequence like seven explosions amidst ridiculous goingson this helped blaring score overdoes heroic bit point nausea in words movie annoyingly panders children lacks confidence adultoriented realitybased tone if want see rousing historical adventure like done right check the cast effective langella shining nefarious pirate rival modine surprisingly good rogue turned hero people complain performance saying head unconvincing wife happily rose challenge part besides else pulled role better film shot julia roberts sandra bullock two come mind demi moore worked lacked beaming smile especially big grin but geena modine needed better script made characters interesting as okay and despite criticisms concerning unbelievable juvenilefocused heroics realistic flicks probably magical nonsense the film runs hour minutes shot fort ricasoli kalkara malta port royal thailand island footage england studio speaking thailand anyone knows anything geography knows flick shot caribbean rather thailand grade born poor choice become thief liar cutthroat island directed renny harlin written robert king marc norman it stars geena davis matthew modine frank langella maury chaykin patrick malahide stan shaw rex linn music scored john debney cinematography peter levy film many flaws reputation akin devil big budget failures however wonderful piece piratical entertainment prepared see past monetary excess famously cited film bankrupted caroloco pictures truth carolco going anyway studio filed bankruptcy cutthroat island even released box office performance irrelevant wouldnt made bit difference and amount hard sell marketing could gotten film make back million spent making received support distributor mgm process sold finances marketing available harlins movie pirate movie ingredients crammed plot yet standard plot sees davis female pirate morgan adams leads charges quest find ultimate treasure hoard problem map three parts part held separate people one morgans vicious uncle dawg langella the hunt race harlin doesnt pause breath hes kid sweet shop armed wads cash money gargantuan right screen well except hiring better actors two magnificent ships built production magnificent costumes sets pyrotechnics exotic locations malta thailand standing jamaica stunning sound editing visual thrills high value cloaked tremendously robust score debney action junkies well served wild horse drawn carriage chases sword fights aplenty ships side side explosive battle mucho perilous situations bodies falling heights thrown sea even get comic relief simian who turns one best actors show its hard believe pirate action film would better appreciated released following decade say success pirates caribbean franchise blunderbuss popcorn movie greater support days theres good portion movie loving faithful want entertained rapid thrills requisite well drawn characterisations thespian class judged terms cutthroat island winner sure main problems clunky script three pronged miscast errors lead roles davis erm wife harlin full guts really attacking material gusto never convinces always feels like caricature shes uncomfortable delivering key lines she would prove fine action actress year later the long kiss goodnight also harlin directing shes woefully place with davis demanding screen time character role shaw began thin much bear michael douglas bowed late day in came matthew modine zero chemistry davis bland acting style far removed period setting could get langella isnt menacing main villain piece good actor right role attempts nastiness feel like panto season started early so problems sure wade misconceptions poisonous press find film desperately aiming please much offer pirate movie fan savour,"[[[0.8666667  0.8039216  0.7019608 ]
  [0.8666667  0.8039216  0.7019608 ]
  [0.8666667  0.8039216  0.7019608 ]
  ...
  [0.8745098  0.80784315 0.7058824 ]
  [0.8666667  0.8039216  0.7019608 ]
  [0.87058824 0.80784315 0.7058824 ]]

 [[0.8666667  0.8039216  0.7019608 ]
  [0.8666667  0.8039216  0.7019608 ]
  [0.8666667  0.8039216  0.7019608 ]
  ...
  [0.8745098  0.80784315 0.7058824 ]
  [0.87058824 0.80784315 0.7058824 ]
  [0.8666667  0.8039216  0.7019608 ]]

 [[0.8666667  0.8        0.69803923]
  [0.87058824 0.8039216  0.7019608 ]
  [0.8666667  0.8        0.69803923]
  ...
  [0.8745098  0.80784315 0.7058824 ]
  [0.8745098  0.80784315 0.7058824 ]
  [0.8745098  0.80784315 0.7058824 ]]

 ...

 [[0.8784314  0.8117647  0.7019608 ]
  [0.8784314  0.8117647  0.7019608 ]
  [0.8745098  0.80784315 0.69803923]
  ...
  [0.8784314  0.8117647  0.70980394]
  [0.8745098  0.8117647  0.70980394]
  [0.8745098  0.8117647  0.70980394]]

 [[0.8784314  0.8117647  0.7019608 ]
  [0.8784314  0.8117647  0.7019608 ]
  [0.8784314  0.8117647  0.7019608 ]
  ...
  [0.8745098  0.8117647  0.70980394]
  [0.8745098  0.8117647  0.70980394]
  [0.8745098  0.8117647  0.70980394]]

 [[0.8784314  0.8117647  0.7019608 ]
  [0.8784314  0.8117647  0.7019608 ]
  [0.8784314  0.8117647  0.7019608 ]
  ...
  [0.8745098  0.8117647  0.70980394]
  [0.8784314  0.8156863  0.7137255 ]
  [0.8745098  0.8117647  0.70980394]]]","Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids."
15,Casino,8,sharon stone robert de niro amazing robert de niro favorite actor how talking hrefhttpwwwarrabitahorgpokerstar bonus codea smile moment he perfect now one favorite movies you see you regret promise,"[[[0.02745098 0.03529412 0.02352941]
  [0.02745098 0.03529412 0.02352941]
  [0.02745098 0.03529412 0.02352941]
  ...
  [0.02745098 0.03529412 0.02352941]
  [0.02745098 0.03529412 0.02352941]
  [0.02745098 0.03529412 0.02352941]]

 [[0.02745098 0.03529412 0.02352941]
  [0.02745098 0.03529412 0.02352941]
  [0.02745098 0.03529412 0.02352941]
  ...
  [0.02745098 0.03529412 0.02352941]
  [0.02745098 0.03529412 0.02352941]
  [0.02745098 0.03529412 0.02352941]]

 [[0.02745098 0.03529412 0.02352941]
  [0.02745098 0.03529412 0.02352941]
  [0.02745098 0.03529412 0.02352941]
  ...
  [0.02745098 0.03529412 0.02352941]
  [0.02745098 0.03529412 0.02352941]
  [0.02745098 0.03529412 0.02352941]]

 ...

 [[0.12156863 0.09803922 0.04313726]
  [0.09019608 0.07058824 0.05882353]
  [0.04313726 0.03921569 0.02352941]
  ...
  [0.02745098 0.03529412 0.03137255]
  [0.03137255 0.03921569 0.02745098]
  [0.03137255 0.03921569 0.02745098]]

 [[0.05490196 0.04705882 0.05098039]
  [0.03137255 0.03921569 0.03529412]
  [0.04313726 0.05098039 0.04705882]
  ...
  [0.03921569 0.04705882 0.04313726]
  [0.03137255 0.03921569 0.03529412]
  [0.03529412 0.04313726 0.03921569]]

 [[0.04313726 0.00392157 0.04705882]
  [0.0627451  0.04313726 0.07058824]
  [0.03921569 0.04705882 0.04313726]
  ...
  [0.05098039 0.05882353 0.05490196]
  [0.04313726 0.05098039 0.04705882]
  [0.03529412 0.04313726 0.03921569]]]",The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.
22,Assassins,6,check mate sly stallone stars ageing assassin gets embroiled cat mouse game younger assassin wants number one trade teaming computer hacker stallone battles pursuer also event past troubles with antonio banderas julianne moore starry support richard donner directors chair wachowski brothers writing duties assassins held promise top line actioner sadly promise met theres clear signs makers trying make something deep cerebral ultimately transpires overly complicated way long picture punctured great action scenes none outrageous taxi ride john woo would proud middle section pic drags needless slumber by midpoint one enough banderas comes like deranged excitable kid someone feared donner really falters conversely gets interestingly engaging tune stallone moore good gets good dialogue spout rarity though since much chatter mumbled said agitated broody manner sound mix strains aural clarification its stinker way diverting time waster many holes many poor production desicions leave knocking averageville door great movie one hard pinpoint exact ways could easily improved stallonebanderas cat mouse assassins sounds promising reality technoir thriller actually kind boring seems like needs groundup reworking get story concept team sounds exhausting final had things appeal poor finished product,"[[[0.00392157 0.         0.        ]
  [0.00392157 0.         0.        ]
  [0.01176471 0.00784314 0.        ]
  ...
  [0.01176471 0.00392157 0.02352941]
  [0.02352941 0.02745098 0.04313726]
  [0.02352941 0.03921569 0.05098039]]

 [[0.00784314 0.00392157 0.        ]
  [0.00784314 0.00392157 0.        ]
  [0.00784314 0.00392157 0.        ]
  ...
  [0.00784314 0.00784314 0.01568628]
  [0.02352941 0.00392157 0.01960784]
  [0.02745098 0.00392157 0.01960784]]

 [[0.01960784 0.00392157 0.        ]
  [0.01960784 0.00392157 0.        ]
  [0.01568628 0.         0.        ]
  ...
  [0.01176471 0.00784314 0.        ]
  [0.00784314 0.00392157 0.        ]
  [0.00784314 0.00392157 0.        ]]

 ...

 [[0.02352941 0.00784314 0.00392157]
  [0.02352941 0.00784314 0.00392157]
  [0.01960784 0.00392157 0.        ]
  ...
  [0.01176471 0.00784314 0.        ]
  [0.01568628 0.01176471 0.00392157]
  [0.01960784 0.01568628 0.00784314]]

 [[0.04313726 0.00784314 0.01176471]
  [0.03529412 0.01176471 0.01176471]
  [0.03529412 0.01176471 0.01176471]
  ...
  [0.00784314 0.00784314 0.00784314]
  [0.01176471 0.00392157 0.00784314]
  [0.02745098 0.01176471 0.01568628]]

 [[0.01960784 0.00392157 0.        ]
  [0.01176471 0.00784314 0.        ]
  [0.01960784 0.01960784 0.01176471]
  ...
  [0.01568628 0.01568628 0.02352941]
  [0.02352941 0.01568628 0.02745098]
  [0.03529412 0.01568628 0.03137255]]]","Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself."
23,Powder,6,cant imagine theres meanness cant imagine one lie powder first two films came dealing gifted individual supersmart paranormal powers second phenomenon john travolta powder superior while phenomenon good powder reaches greatness ways achieves even marred dubious moments sean patrick flanery plays hairless albino teen east texas nicknamed powder whos discovered living basement grandfathers sudden death as ward state placed boys school uniqueness stirs trouble for film like work buy character one movies strengths flanery reveals acting expertise convincing portrayal shy gifted teen flannerys powder stands strong greatest misfits cinema like nimoys spock hanks forrest gump actually acting good across board lance henriksen hardenedbutopen sheriff mary steenburgen psychologist grows really powder motherly way jeff goldblum fervent science teacher whos astonished bradford tatum powders main enemy school brandon smith redneck deputy instinctively hates actually fears beautiful redhead missy crider powders fellow student potential love interest roger ebert dissed film number reasons one powders enemys dont learn on contrary one enemy makes enlightened ultimately reverts back former base mentality this happens time real life on another occasion powder something miraculous clearly see change enemys face realization acceptance whether prove lasting change temporary revealed ebert also complained powders electrical tricks upstage emotional insights really think reverse while electrical tricks maintain attention adhd films potent insights stay viewer dont get wrong enjoy electrical tricks theyre way overdone realistic at time understand writerdirector victor salva included movie real life meant transfer ideas and entertain pretty effectively ebert also griped ending unsatisfying think actually ending makes powerful statement reminiscent spectacular translations elijah enoch bible lets say powder good spiritual simpleminded mundane im saying film doesnt flaws rollyoureyes moments overlooked view big picture films successes as paranormal phenomena featured story like psychokinesis telepathy extraordinary empathy bible calls word although exaggerated film secret theyre real the film shot se texas runs minutes grade,"[[[0.8156863  0.78039217 0.7607843 ]
  [0.8117647  0.7764706  0.7490196 ]
  [0.827451   0.79607844 0.7529412 ]
  ...
  [0.8235294  0.8117647  0.7764706 ]
  [0.827451   0.81960785 0.77254903]
  [0.827451   0.81960785 0.77254903]]

 [[0.8235294  0.77254903 0.7372549 ]
  [0.827451   0.78039217 0.73333335]
  [0.84313726 0.79607844 0.7411765 ]
  ...
  [0.84313726 0.80784315 0.7490196 ]
  [0.84313726 0.8117647  0.7607843 ]
  [0.84313726 0.8117647  0.7607843 ]]

 [[0.8352941  0.79607844 0.7607843 ]
  [0.85882354 0.80784315 0.7764706 ]
  [0.84705883 0.7882353  0.7607843 ]
  ...
  [0.85490197 0.8        0.7882353 ]
  [0.8627451  0.8        0.7372549 ]
  [0.8745098  0.8117647  0.7490196 ]]

 ...

 [[0.87058824 0.84705883 0.8       ]
  [0.87058824 0.84705883 0.8       ]
  [0.87058824 0.84705883 0.8       ]
  ...
  [0.93333334 0.88235295 0.8509804 ]
  [0.93333334 0.88235295 0.8509804 ]
  [0.93333334 0.88235295 0.8509804 ]]

 [[0.87058824 0.84705883 0.8       ]
  [0.87058824 0.84705883 0.8       ]
  [0.87058824 0.84705883 0.8       ]
  ...
  [0.93333334 0.88235295 0.8509804 ]
  [0.93333334 0.88235295 0.8509804 ]
  [0.93333334 0.88235295 0.8509804 ]]

 [[0.8745098  0.8509804  0.8039216 ]
  [0.8745098  0.8509804  0.8039216 ]
  [0.8745098  0.8509804  0.8039216 ]
  ...
  [0.93333334 0.88235295 0.8509804 ]
  [0.93333334 0.88235295 0.8509804 ]
  [0.93333334 0.88235295 0.8509804 ]]]","Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined."
