,label,sentences
0,8,this movie came three now im twenty seven goddamn thing still holds final very strong appeal personal favourite decided revisit many years still holds well great movie kids adults wonderful teachable moments just groundbreaking animated movie around stunning feature film entrance pixar emtoy storyem true delight first second last the cgi animation excellent all toys look brilliant world love feel the music good randy newman nice job youve got friend me cracker tom hanks leads strong cast hanks plays woody fantastic effect he best part film tim allen great buzz lightyear don rickles mr potato head wallace shawn rex john ratzenberger hamm also bring fun everything else terrific humour pacing plot enjoy there probably flaws parts namely buzzs supposed unawareness nothing impacts viewing experience go watch
1,7,throw dice take turn jumanji made critics gurn jumanji directed joe johnston based chris van allsburgs short story name it stars robin williams bonnie hunt kirsten dunst bradley pierce jonathan hyde the story weird board game played unleashes hazards jungle every throw dice once started playing finish game normality resumed simple plot coming excuse show impressive effects said critics jumanji defied critics time become box office winner family favourite enough favourite spawn sequel zathura animated tv series board game in truth film reliant effects entertain cast competent enjoyable merely lurching one perilous throw dice another but call film shallow wrong ignorant theres flecks bad parenting peer pressure grief bullying impact missing child one town noteworthy addition story line you wonder critics actually paid attention free viewings yes berserker family fun without worth writing either besides action set pieces laughs alone mean film merits
5,8,you dont live live among remains dead people heat written directed michael mann it stars robert deniro al pacino val kilmer jon voight tom sizemore diane venora ashley judd amy brennerman danny trejo music scored elliot goldenthal cinematography dante spinoti big time thief neil mccauley deniro one last major score retires hot tail vincent hannah pacino cop equally methodically driven in build heats release much made first screen pairing deniro pacino mouthwatering prospect sure proved worth wait unfolds lesson restrained acting two modern greats affording respect due what didnt realise build films release would prove one greatest cops robbers movies time brought us auteur director whose kink realism commitment research stands much modern directing pack rarely film come together one cogs engine tune heat one picture from cast performances visual aesthetics screenplay actual substance story heat meticulous thrilling there myriad characters brilliantly stitched together one deglamorised city angels plot develops character crumbling relationships come inspection witnessing coarse viewpoint human nature peoples lives ended defined choices everywhere look folk cracking strain exposed high end crime dreams hopes happiness unlikely achieved sides law for heat mann fuses tonal visual ticks manhunter adrenalin rushes last mohicans former gorgeously born spinotis pin sharp photography latter thrillingly realised manns skill action set pieces once word mouth key heist shoot film led high expectation disappointment la becomes battle ground rapid gunfire punctures air cars swerve crash bodies fall visually aurally drags edge seat extended action sequence fit sit best the kicker well mann detailed characterisations care happens parties understand motives means which film huge support cast quite achievement there enough heat fill dozen cops robbers films fans neonoir crime films general spoilt supreme its rocket science really put group great actors together give intelligent script work let guided director sit still get great film heat ultimate predator prey movie beginning end refuses lazy cop energy thought seeps every frame partly im disappointed taking long watch heat massive influence one best movies ever the dark knight one favourite video games ever payday the heist mostly though im disappointed taking long watch heat ive denied long privilege seen great fucking crime movie final an round good movie little something extra
7,5,good enough it doesnt come close disneys film featuring mark twains huckleberry emthe adventures huck finnem in fairness one tom sawyer huck pleasing given already portrayed huck two years prior the actor depicts latterly named character brad renfro isnt truthful hes fine memorable jonathan taylor thomas meanwhile plays tom probably best part production hes cheekiness works well role elsewhere eric schweig injun joe makes decent bad guy like vibe emtom huckem think couldve done without love story doesnt hamper things much would say film goes slower pace would prefer particularly drags ever slightly towards end still rate mostly thanks mr thomas
9,7,really solid entry series brosnan personally favorite bond great the plot thin side helped sean bean sinister villain course famke janssen makes amazingly sexy psychopath ahem incredible thighs
11,6,most probably least favourite film mel brooks though havent seen life stinks yet leslie nielsen though refuse watch postairplane naked gun knockoffs hes made years since still doesnt deserve hate its still least times funnier lena dunhams tiny furniture socalled contemporary american comedies made days
14,6,not bad notoriously condemned still clearly shows leads director illadvised know well getting harlin point time getting davisthats exactly probably married she brings agame definitely tries best isnt thing modines clearly blockbuster star material action films harlins setpieces worked particularly well pandered much wife that work youre say rossellinis youre filming drama set italy working though ill adore davis dying day add yearold sons favourite films very curious would made sequels bombedthe ending sure openended enough give impression this one film sit back enjoy ride offer guilty pleasure definitely worth watch enjoy popcorn films children not enjoyable first two pirates caribbean releases better subsequent sequels fun pirate flick tries hard heroic panders youngsters in female pirate captain geena davis purchases educated slave matthew modine read treasure map written latin help crew find priceless lucre cutthroat island frank langella plays villainous uncle also chasing hidden loot pirate adventure spirit lost even cute monkey side character fun adventure several worthwhile scenes check pirate staple boxes magnificent locations movie magic for one thing tries hard largerthanlife valiant thus goes overthetop action scenes like escape port royal sequence like seven explosions amidst ridiculous goingson this helped blaring score overdoes heroic bit point nausea in words movie annoyingly panders children lacks confidence adultoriented realitybased tone if want see rousing historical adventure like done right check the cast effective langella shining nefarious pirate rival modine surprisingly good rogue turned hero people complain performance saying head unconvincing wife happily rose challenge part besides else pulled role better film shot julia roberts sandra bullock two come mind demi moore worked lacked beaming smile especially big grin but geena modine needed better script made characters interesting as okay and despite criticisms concerning unbelievable juvenilefocused heroics realistic flicks probably magical nonsense the film runs hour minutes shot fort ricasoli kalkara malta port royal thailand island footage england studio speaking thailand anyone knows anything geography knows flick shot caribbean rather thailand grade born poor choice become thief liar cutthroat island directed renny harlin written robert king marc norman it stars geena davis matthew modine frank langella maury chaykin patrick malahide stan shaw rex linn music scored john debney cinematography peter levy film many flaws reputation akin devil big budget failures however wonderful piece piratical entertainment prepared see past monetary excess famously cited film bankrupted caroloco pictures truth carolco going anyway studio filed bankruptcy cutthroat island even released box office performance irrelevant wouldnt made bit difference and amount hard sell marketing could gotten film make back million spent making received support distributor mgm process sold finances marketing available harlins movie pirate movie ingredients crammed plot yet standard plot sees davis female pirate morgan adams leads charges quest find ultimate treasure hoard problem map three parts part held separate people one morgans vicious uncle dawg langella the hunt race harlin doesnt pause breath hes kid sweet shop armed wads cash money gargantuan right screen well except hiring better actors two magnificent ships built production magnificent costumes sets pyrotechnics exotic locations malta thailand standing jamaica stunning sound editing visual thrills high value cloaked tremendously robust score debney action junkies well served wild horse drawn carriage chases sword fights aplenty ships side side explosive battle mucho perilous situations bodies falling heights thrown sea even get comic relief simian who turns one best actors show its hard believe pirate action film would better appreciated released following decade say success pirates caribbean franchise blunderbuss popcorn movie greater support days theres good portion movie loving faithful want entertained rapid thrills requisite well drawn characterisations thespian class judged terms cutthroat island winner sure main problems clunky script three pronged miscast errors lead roles davis erm wife harlin full guts really attacking material gusto never convinces always feels like caricature shes uncomfortable delivering key lines she would prove fine action actress year later the long kiss goodnight also harlin directing shes woefully place with davis demanding screen time character role shaw began thin much bear michael douglas bowed late day in came matthew modine zero chemistry davis bland acting style far removed period setting could get langella isnt menacing main villain piece good actor right role attempts nastiness feel like panto season started early so problems sure wade misconceptions poisonous press find film desperately aiming please much offer pirate movie fan savour
15,8,sharon stone robert de niro amazing robert de niro favorite actor how talking hrefhttpwwwarrabitahorgpokerstar bonus codea smile moment he perfect now one favorite movies you see you regret promise
22,6,check mate sly stallone stars ageing assassin gets embroiled cat mouse game younger assassin wants number one trade teaming computer hacker stallone battles pursuer also event past troubles with antonio banderas julianne moore starry support richard donner directors chair wachowski brothers writing duties assassins held promise top line actioner sadly promise met theres clear signs makers trying make something deep cerebral ultimately transpires overly complicated way long picture punctured great action scenes none outrageous taxi ride john woo would proud middle section pic drags needless slumber by midpoint one enough banderas comes like deranged excitable kid someone feared donner really falters conversely gets interestingly engaging tune stallone moore good gets good dialogue spout rarity though since much chatter mumbled said agitated broody manner sound mix strains aural clarification its stinker way diverting time waster many holes many poor production desicions leave knocking averageville door great movie one hard pinpoint exact ways could easily improved stallonebanderas cat mouse assassins sounds promising reality technoir thriller actually kind boring seems like needs groundup reworking get story concept team sounds exhausting final had things appeal poor finished product
23,6,"""Can't imagine there's meanness; can't imagine one lie""  

""Powder"" was the first of two films that came out in 1995-1996 dealing with a gifted individual who is super-smart and has paranormal powers; the second was ""Phenomenon"" with John Travolta. ""Powder"" is the superior. While ""Phenomenon"" is good, ""Powder"" reaches for greatness and, in some ways, achieves it, even while it’s marred by a few dubious moments.

Sean Patrick Flanery plays a hairless albino teen in East Texas, nicknamed Powder, who's discovered living in a basement after his grandfather's sudden death. As a ward of the state, he is placed in a boy's school where his uniqueness stirs up trouble.

For a film like this to work you have to buy into the character, and this is one of the movie's strengths. Flanery reveals his acting expertise in his convincing portrayal of the shy, gifted teen. Flannery's Powder stands strong with the greatest misfits in cinema, like Nimoy's Spock and Hank's Forrest Gump.

Actually, the acting is good across the board: Lance Henriksen as the hardened-but-open sheriff, Mary Steenburgen as a psychologist who grows to really Powder in a motherly way, Jeff Goldblum as a fervent science teacher who's astonished, Bradford Tatum as Powder's main enemy at school, Brandon Smith as a redneck deputy who instinctively hates him, but actually fears him, and the beautiful redhead Missy Crider, Powder's fellow student and potential love interest.

Roger Ebert dissed the film for a number of reasons, one being Powder's enemy's don't learn from him. On the contrary, one enemy makes a 180 after being enlightened, but ultimately reverts back to his former base mentality. This happens all the time in real life. On another occasion Powder does something miraculous and you can clearly see the change on his enemy's face, the realization & acceptance. Whether this will prove to be a lasting change or temporary, isn’t revealed.

Ebert also complained that Powder's electrical tricks upstage his emotional insights. Really? I think it's the reverse. While the electrical tricks are there to maintain the attention of those with ADHD, it's the film's potent insights that stay with the viewer. Don't get me wrong, I enjoy the electrical tricks, but they're way too overdone to be realistic. At the same time, I understand why the writer/director (Victor Salva) included them: this is a MOVIE, not real life; it's meant to transfer ideas AND entertain, and it does both pretty effectively.

Ebert also griped that the ending is unsatisfying the more you think about it. Actually, the ending makes a powerful statement and is reminiscent of the spectacular translations of Elijah and Enoch in the Bible. Let's just say Powder was too good, too spiritual, for the simpleminded and mundane.

I'm not saying the film doesn't have flaws or roll-your-eyes moments, but they can be overlooked in view of the big picture and the film's successes.

As for the paranormal phenomena featured in the story, like psychokinesis, telepathy, extraordinary empathy and what the Bible calls ""the word of knowledge,” although some of these are exaggerated in the film I have a secret:

They're real.

=========================

The film was shot in SE Texas and runs 111 minutes.

GRADE: A-"
